Teks,Bintang,Tanggal
"aplikasi sampah semua"" bayar",1,2025-10-17 12:35:53
lumayan,3,2025-10-17 12:31:33
bagus,5,2025-10-17 12:18:29
karena apk ini sangat meng hibur,5,2025-10-17 12:17:52
Spotify gw bug lirik nya gak keluar tpi gapapa yang lain nya tetep jos dah pokok nya,5,2025-10-17 12:09:04
kebanyakan iklan,2,2025-10-17 12:04:59
uang Saya hilang 66 ribu untuk premium padahal saya tidak membeli premium,1,2025-10-17 12:02:40
lagu nya asik asik. ini bener bener aplikasi yg di saranin buat kalian kalian yg lagi mau santai di manapun kalian berada love you ( pcr Yoon jaehyun treasure ✧),5,2025-10-17 11:47:15
Bagusss,5,2025-10-17 11:43:17
"aplikasinya bagus, aku paling suka kalo nonton dalam musik muncul iklan 4 kali yang masing masing iklan nya berdurasi 30 detik-1 menit🥰, tolong ya kalo ngasih iklan ya NGOTAK LAH!!!",5,2025-10-17 11:42:31
wow,5,2025-10-17 11:27:46
𝑏𝑎𝑔𝑢𝑠𝑠 𝑏𝑔𝑡 😘,5,2025-10-17 11:13:36
Enak banget kalau dengerin lagu di Spotify walaupun ada iklan tapi gapapa,5,2025-10-17 11:08:40
bagus,5,2025-10-17 10:53:53
aplikasinya bagus,5,2025-10-17 10:51:55
iklannya banyak,2,2025-10-17 10:46:06
baguss bgt,5,2025-10-17 10:37:57
3 ads in a row? nah,3,2025-10-17 10:37:44
buatt ngapain ajaa nyamann,4,2025-10-17 10:37:09
banyak kali iklannya,1,2025-10-17 10:34:17
iklan gak ngotak!,1,2025-10-17 10:34:08
membantu berlatih menyanyi,5,2025-10-17 10:31:48
bagus polllll,5,2025-10-17 10:25:12
mantulll,4,2025-10-17 10:21:40
keren,5,2025-10-17 10:14:48
bagus,5,2025-10-17 10:13:33
ini bisa mendengar lagu Dengan ditutup aplikasi,5,2025-10-17 10:06:35
banyak banget iklannya kntlll,1,2025-10-17 10:05:57
sangat bagus,5,2025-10-17 10:01:50
Aplikasi music player paling the best ya Spotify,5,2025-10-17 09:59:22
demm keren bett coyy,5,2025-10-17 09:48:52
"iklannya makin gak masuk akal. lagu play 2 kali, iklannya 3 kali. bye!",1,2025-10-17 09:44:06
terimakasih,5,2025-10-17 09:15:30
👍👍👍,5,2025-10-17 09:00:50
"sporty sekarang mutar lagu baru sedikit udh premium gimana sii, padahal baru dikit yg di putar tapi udh kena primium",4,2025-10-17 08:58:28
spotify kereen,4,2025-10-17 08:27:53
aku kasih 4 aja ya,4,2025-10-17 08:26:35
bagus,5,2025-10-17 08:16:06
"baguss bgdd sumpah playlist aj keren' semua lagu yg paling aku suka sieh Despacito wawww kane bgd sama bintang lima ouyyyyyy pliss tolong ini bener' baguss di bandingkan apk dengerin musik lainnya tolong jangan di ubah atau di update lagi yhaa mungkin klo mau di update fitur' sekarang ini jangan di hapuss tapi aku sieh mau nya gada iklan premium ya, tapi gpp ko ga terlalu mengganggu jugaa pokonyaa lope bgd sama apk satu ini makasi developer lopee dehhh 💗🤗🙆‍♀️🤩",5,2025-10-17 08:12:24
bagus skali sih nih aplikasi,5,2025-10-17 08:07:30
banyak banget iklan nya taii,1,2025-10-17 08:03:57
Kalian malah dengarin lagu ckckck,5,2025-10-17 07:56:25
sekarang malah lelet loadingnya😓😓,2,2025-10-17 07:54:52
aplikasi ini bagus ada lagu terbaru pasti muncul di spotify,5,2025-10-17 07:49:41
Sangat bagus tapi iklannya dihilangkan saja biar nyaman dengarkan nya,5,2025-10-17 07:49:29
boikot saja,1,2025-10-17 07:45:06
"apk ini udh bagus dan iklannya juga bisa dibilang dikit tp adain diskon Spotify premium buat siswa/i SMA juga dongg, sekarang itu lagi banyak tugas dn aku bisa fokus sm tugas gr gr dengerin musik di Spotify tapi yah yg bikin kesel tu gara gara kahalang iklan...jadi please kasii diskon prem untuk siswa/i SMA jugaaa, nanti aku wajib langsung sat set beli itu Spotify prem",5,2025-10-17 07:42:44
semakin lu hujat sekain banyak iklan,5,2025-10-17 07:41:57
mantap,5,2025-10-17 07:41:40
josss,5,2025-10-17 07:37:12
tenxi and jemsii the best brokk,5,2025-10-17 07:21:02
GACOR KANG!!!!!!,5,2025-10-17 07:12:16
keren banget gak sering muncul iklan musik bagus juga,4,2025-10-17 07:06:39
bagus,5,2025-10-17 06:59:44
good,5,2025-10-17 06:40:20
music lengkap.jadi mantap,5,2025-10-17 06:38:13
ngotak dikit ajg iklan 5kali bbi,5,2025-10-17 06:32:33
banyak banget harus premium dan banyak iklan,3,2025-10-17 06:31:04
bilkin tenang,5,2025-10-17 06:22:00
goood,5,2025-10-17 06:11:58
bagus aja buat maen ep ep Ama ml,5,2025-10-17 06:07:20
mending yowtube bisa di lewati iklan nya,2,2025-10-17 05:59:40
katanya gk ada iklannya tapi ko ada yaa😭😭,5,2025-10-17 05:58:11
sangat berguna untuk kaum rebahan sih,5,2025-10-17 05:51:56
kikir banget kasih iklan gak nanggung² langsung 4 sekaligus padahal baru denger 2 lagu,3,2025-10-17 05:49:07
aplikasi ini bagus banget jadi aku kasih bintang lima terus semangat yang buat aplikasi ini semoga banyak rezekinya amin🤲🤲🤲,5,2025-10-17 05:48:05
"tidak sebanding, lagu sama iklan kebanyakan iklan nya...",3,2025-10-17 05:44:57
lumayan,4,2025-10-17 05:42:25
lagu kenang masa lalu,5,2025-10-17 05:21:29
sorry gk suka di hp aku padahal udh di pencet lagu nya gak ada suara nya plus gak ada gambar nya di lagu nya biasanya kan ada kan gambar gambar di lagu tpi gk ada,2,2025-10-17 05:05:50
enak banget bisa dengerin lagu sambil main gamess,4,2025-10-17 05:00:00
bagus,5,2025-10-17 04:51:13
ga sekalian tambahin 5 iklan? spotify kebelet haji kah,3,2025-10-17 04:35:56
tolong dong lagunya semuanya itu di kasih teks lirik dan ada versi karaoke.... akan lebih baik lagi...,5,2025-10-17 04:35:05
Kren,5,2025-10-17 04:32:54
josssss,5,2025-10-17 04:06:38
mantapp HD sound,5,2025-10-17 04:04:22
cm spotify doang yg bikin hari² w lbh seru:),5,2025-10-17 04:03:47
"baguss banget, tapi banyak iklan nyaa☹️☹️",4,2025-10-17 03:59:02
Ganti lagu aja hrus premium elah,1,2025-10-17 03:38:29
good,5,2025-10-17 03:34:11
aplikasi mudah digunakan dan hampir tidak ada iklannya,5,2025-10-17 03:33:04
"bagus sich aplikasinya, hanya saja yang ingin dengarkan lagu secara gratis (free) tanpa berlangganan lebih bnyak mendengar kan iklan yg lumayan banyak daripada musiknya.",4,2025-10-17 03:30:37
bagaus,5,2025-10-17 03:25:49
bagus bgt,5,2025-10-17 03:22:52
begs,5,2025-10-17 03:20:56
bagus bangnge't,5,2025-10-17 03:20:20
jambot,1,2025-10-17 03:20:04
gw udh premium masih aja ada iklan,3,2025-10-17 02:54:08
aasyik bro,5,2025-10-17 02:45:54
mantap,5,2025-10-17 02:23:20
enaka banget,5,2025-10-17 02:18:52
♥️👍🏻,5,2025-10-17 02:12:28
Kerennn,5,2025-10-17 02:10:43
setelah update bisa milih sendiri gue kasih 5,5,2025-10-17 02:02:40
walau gratis tetap iklannya ngotak dikit. dari 1 sampe 3 iklan.. uninstall.,1,2025-10-17 01:57:22
mantap sekali aplikasi musik SPOTIFY 👌👌👌,5,2025-10-17 01:57:13
mantap,5,2025-10-17 01:50:14
sekarang kok banyak promosi.... dikit-dikit promosi dikit-dikit promosi,2,2025-10-17 01:30:22
🔥💪👊🤘😎,5,2025-10-17 01:25:07
"lagu2nya lengkap, rekamannya jernih.",5,2025-10-17 01:23:10
luar biasa 👍,5,2025-10-17 01:21:53
memanjakan telinga,5,2025-10-17 01:20:58
"thank you banyak' buat yg udh ciptain sportify di bumi ini😘 soalnya bagus bet apknya ak jadi bisa dengerin musik' favorite ak😘, pokoknya makasih buat yg udh nyiptain apk ini karna musik adalah sebagian jiwa raga dan hidupku🥰😘",5,2025-10-17 00:52:33
good,5,2025-10-17 00:40:00
jarang ada iklan walau ga premium nicee,5,2025-10-17 00:39:40
mantap,5,2025-10-17 00:35:09
asik² lagunya,5,2025-10-17 00:34:54
bagus sekali,4,2025-10-17 00:15:25
4 BINTANG SEBAB ADA IKLANNYA,4,2025-10-17 00:03:52
ok,5,2025-10-17 00:01:23
apkasi ini sangat bagus,5,2025-10-17 00:00:07
mantap👍👍,5,2025-10-16 23:56:25
mantab,5,2025-10-16 23:43:15
pay to hear,1,2025-10-16 23:42:04
saya suka walaupun tanpa premium saya tetap suka dengan aplikasi ini🫵🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🫶,5,2025-10-16 23:41:41
oke bagus² .............. ... ................. ...................... ................................,5,2025-10-16 23:29:17
spotify mantap!,5,2025-10-16 23:24:51
tks.,5,2025-10-16 23:20:39
Musiknya nyaman didengar saat memutarnya,5,2025-10-16 23:13:18
"gak kayak dulu,iklan nya 5 lagu 1 kali kalo sekarang 1 lagu 2 iklan🤬",1,2025-10-16 23:07:34
"mls bgt iklannya skrg ada 3, 2 aja gw males apalagi 3 huh 😒",1,2025-10-16 22:54:42
sangat memuaskan,5,2025-10-16 22:42:31
bagus,5,2025-10-16 22:35:59
so far so good,5,2025-10-16 22:15:02
"bagus, fitur premium juga bagus",5,2025-10-16 22:12:42
kebanyakan iklan,1,2025-10-16 19:52:31
Spotify : musik dan podcast ini sangat bagus aku suka sekalii. makasih Spotify,5,2025-10-16 19:14:12
plis iklanya di apuz aja,5,2025-10-16 18:56:41
lagi mencoba...,5,2025-10-16 18:33:46
uninstal ah support genosida,1,2025-10-16 18:00:25
Bagus,5,2025-10-16 17:32:15
burik gak menarik,1,2025-10-16 17:12:10
suka banget kalau jalan selalu dengar lagu 🥹🥹🥹,5,2025-10-16 16:39:50
"rumah gwe bnyk lagu"" yg gw suka🖤",5,2025-10-16 16:11:08
"mendengarkan lagu jadi ga maksimal karna dibatasin, kalo mau lebih maksimal harus premium dulu, ribet saya kasih bintang 1",1,2025-10-16 15:58:02
enak banget jadi bisa denger lagu tapi aku gk pernah premium,5,2025-10-16 15:46:59
bguss bngett,2,2025-10-16 15:46:30
mantap,5,2025-10-16 15:23:44
Maacih 😊,5,2025-10-16 15:03:27
bagus minus iklan truss.,5,2025-10-16 14:59:40
keren...berbagai jenis musik 🪉 naik lokal maupun global,5,2025-10-16 14:46:55
"kalau kurangin iklan pasti bintang 5 kok,lagi dengerin tenxi berubah malah iklan",4,2025-10-16 14:45:11
mantepppp,5,2025-10-16 14:34:56
makin lama makin kikir aja ni aplikasi 🥰🥰 dari dulu yg iklannya 15 detik sampek sekarang yg 3menit🥰🥰😍😘,1,2025-10-16 14:26:45
"sekarang apa apa harus premium,milih lagu di batesin aneh",1,2025-10-16 14:22:33
asik asik lagu nya,5,2025-10-16 14:14:38
enakeun #w,5,2025-10-16 13:56:10
"Teruntuk Admin Spotify tercinta, saya tau kalo saya memang ga premium buat dengerin lagunya, tapi tolong dong.. jangan ngasih iklan bejibun gitu, biasanya saya dapet iklan 1 doang.. ini sekarang bisa 2 sampe 4 iklan.. ini mah saya kayak denger iklan doang, denger lagu 1-3 abis itu 3 iklan langsung. Maaf kalo kesannya kayak buruk, tapi nanti saya coba premium buat Spotify. Terimakasih.",4,2025-10-16 13:54:46
simpel,4,2025-10-16 13:53:32
"lagunya lengkap banget aku suka, terus ada liriknya juga.",5,2025-10-16 13:52:18
terlalu banyak iklann,1,2025-10-16 13:48:45
shuffle pintar nya ga nyambung sm lagu yg sering di denger,3,2025-10-16 13:45:44
pendukung genosida,1,2025-10-16 13:43:03
oke mntp,5,2025-10-16 13:41:32
"sangat menyenangkan, mudah dan cepat dalam search lagu dan artisnya, juga tersedia liriknya. aplikasi recommended",5,2025-10-16 13:32:30
bagus banget suara nya,5,2025-10-16 13:24:24
saya kasi bintang 1 karna lu spotify udh bikinn nangiss seseorangg butut hamaa apk tbtb akun orng login di hp orng apaan sih cuh,1,2025-10-16 13:03:08
enak banget,5,2025-10-16 12:54:25
"Minimal kalo ga mau pengguna yang pake bajakan, jangan hapus juga yang paket premium seminggu lah bodoo. dikira bayar paket 56k/bulan enteng apa? paket pelajar/mahasiswa, dikira semua orang pada kuliah gitu? mikir lahhh udah bener bener dulu ada paket premium 9k/minggu malah dihapus lawak bener ni developer",1,2025-10-16 12:53:35
mantap,5,2025-10-16 12:53:18
lagu buanyak bet,5,2025-10-16 12:53:01
keren tapi iklan nya perlu di kurangi jadi 1 iklan aja 😁,5,2025-10-16 12:44:58
"makin lama makin ngelunjak ni iklan, males lah uninstal aja apk nya",1,2025-10-16 12:44:28
bagus buat di dengar,5,2025-10-16 12:41:03
good,5,2025-10-16 12:39:36
paling bisa bikin mood balik lagii,5,2025-10-16 12:30:06
Kenapa lagu diputar random ?,4,2025-10-16 12:28:38
gilaaa bagusss banget,4,2025-10-16 12:18:45
enak banget lagu lagu nya udah ga pernah muncul iklan lagi soalnya udah pake mode premium,5,2025-10-16 12:14:21
sangat cocok untuk aku di mana saja😃,3,2025-10-16 12:08:41
gut lah,5,2025-10-16 12:04:38
bagus banget banyak lagu,5,2025-10-16 12:03:39
"BAGUS BANGETT AKU SUKAAA, INDAH BANGET, AKU BISA DENGAR LAGU SIAPA PUN",5,2025-10-16 12:02:22
bagus,5,2025-10-16 11:56:20
bagus,5,2025-10-16 11:55:02
banyak iklann satt,1,2025-10-16 11:52:11
"bcot iklannya, gw tau duit lu buat isriwil",1,2025-10-16 11:45:45
sangat Bagus saya suka karena tetap bisa dengar lagu di luar aplikasi,5,2025-10-16 11:44:31
paling bagus dan bagus sekali,5,2025-10-16 11:40:09
teman d saat galau,5,2025-10-16 11:40:01
sangking bagus nya bingung mau komen ap,5,2025-10-16 11:30:23
bagus banget! tapi tolong banget buat bikin Spotify nya gak premium semua 😔,5,2025-10-16 11:28:43
lumayan bagus,4,2025-10-16 11:26:57
Banyak iklan,3,2025-10-16 11:25:25
bisa dengerin lagu galau,5,2025-10-16 11:24:21
"saran ya, setiap satu lagu kasih iklan aja minimal 5 iklan per lagu. walaupun udh premium juga kasih iklan, biar user makin kecewa... Kwon t0l",1,2025-10-16 11:19:28
bagus,1,2025-10-16 11:11:55
so perfect untuk dengerin musikk luvv🤍,5,2025-10-16 11:11:07
luar biasa,5,2025-10-16 11:08:12
bagus gak terlalu banyak iklan sayangnya gk ada lirik lagu nyaa🥲🥲,3,2025-10-16 11:00:19
mantap dan keren spotify 🤩🤩🤩🤩,5,2025-10-16 10:58:14
tenang bngt jadi nya,5,2025-10-16 10:44:24
keren,5,2025-10-16 10:39:43
Anti genosida,1,2025-10-16 10:26:51
"Dikit dikit iklan. Mau mencet lagu aja harus premium dulu. Dulu lebih fleksibel sekarang gk, mana mau batalin langganan di bikin susah, harga dinaikin mending software / aplikasi lain.",1,2025-10-16 10:26:27
sangat bermanfaat,5,2025-10-16 10:24:25
mantap,5,2025-10-16 10:17:53
semenjak gw make nih apk gw jadi tw apa selera lagu sejati gw wkwk. gw sbenernya suka spotipe tapi kenapa y gw bru denger 2-3 lagu pasti tuh mncul iklan bikin gw g mood padahal lagi ngevibes bgt gw dengerny bisa kali y dikurangin tuh iklanny dan ini cm pendapat gw ya soalny gw agk risih. lov spotipe,5,2025-10-16 09:49:20
aplikasi nya bagus banyak lagu yang enak banget kalo di dengar cuma ada beberapa lagu yang gak ada,4,2025-10-16 09:41:28
oke,5,2025-10-16 09:38:27
this is my best friend⭐⭐⭐⭐⭐,5,2025-10-16 09:21:27
kok makin lama makin maksa sekali ini spotify mintak premiun ya. sekarang gw gak bisa bebas gak seperti yang dulu ya,2,2025-10-16 09:01:52
-mines banyak iklan🗿,5,2025-10-16 08:59:19
mantaaapss,5,2025-10-16 08:57:00
aku menyukai lagu makanya aku mendownload nya karna disini ada jutaan lagu,5,2025-10-16 08:52:21
keren,5,2025-10-16 08:43:12
bikin belajar tambah nyaman,5,2025-10-16 08:42:34
"walaupun hp mati lagunya tetep jalan, jadi hemat batre hp",5,2025-10-16 08:33:44
komplit banget koleksinya...👍👍👍❤️🧡💚🩵,5,2025-10-16 08:15:06
makin makin iklan nya,2,2025-10-16 08:10:36
really good,5,2025-10-16 08:08:22
lagu ya sesuwai harapan dan ciri has lagu sama dengan ku,5,2025-10-16 07:59:14
suka ga bisa puter lagu karena di paksa beli premium 24 jam,2,2025-10-16 07:32:52
asyik. dan keren lagunya,5,2025-10-16 07:21:36
good,5,2025-10-16 07:16:25
"iklannya makin gila, udah di spam 4x , baru 2 lagu udah iklan lagi 4x bangke",1,2025-10-16 07:06:55
bagus,5,2025-10-16 07:04:29
cocok buat di jalan enak lagu²nya the best top,5,2025-10-16 07:02:31
bagus mungkin bisa di tingkat kan lagi seperti dari lagu dan yang lain,4,2025-10-16 06:57:35
"makasih selalu nemenin gua kalo mikirin ortu di malem hari smbil musikan, prem nya juga ada yang student jadi lebih hemat",5,2025-10-16 06:37:05
aplikasinya bagus tidak ada iklan,5,2025-10-16 06:27:21
nice,5,2025-10-16 06:10:59
"Krna ccok untuk di saat ingin tidur,ingin beres², dan yang lain²",1,2025-10-16 06:04:18
sangat bagusss,5,2025-10-16 06:02:07
di puas dengan applikasi ini,1,2025-10-16 05:55:14
apk ini sangat bagus sekali,5,2025-10-16 05:52:42
saya suka tidak ada iklan tapi cuma bisa dengerin musik offline boleh,5,2025-10-16 05:37:20
👍baguss,4,2025-10-16 05:36:21
iklan makin cepat muncul mana banyak banget lagi akhir' ini terus lama juga,2,2025-10-16 05:22:56
"mantap semua lagu yang saya cari ada di sini, terutama lagu-lagu nostalgia.",4,2025-10-16 05:19:14
anying iklan Mulu Kon*ol. mana iklan nya lama biadab. bagi lu yg belum donlot mening kaga usah Ngab.anying iklan nya kaga ngotak!!!!!,1,2025-10-16 05:00:29
sangat bagus,5,2025-10-16 04:59:18
mantap,5,2025-10-16 04:41:17
"masa iklan nya sampe 4, lama dong mendengarkan musik nya. Premium, gak bisa, mendengarkan lagu sedih, malah iklan senang. Iklan nya gak jelas.",1,2025-10-16 04:33:37
Mantap banget nih aplikasi,5,2025-10-16 04:32:17
aplikasi kek tv banyak iklanya,4,2025-10-16 04:21:50
"1 lagu,3 iklan njirr.",1,2025-10-16 04:18:47
Mantap aplikasinya mendukung pakai dolby atmos,5,2025-10-16 04:02:49
👍,5,2025-10-16 04:00:33
terima kasih Spotify selalu menemani perjalanan,5,2025-10-16 03:55:50
"sangat bagus,untuk mendengarkan lagu lagu/ musik yang sedang hitss dan viral",5,2025-10-16 03:55:16
sangat menyenangkan menggunakan aplikasi ini,5,2025-10-16 03:54:44
sangat bagus,5,2025-10-16 03:51:57
"Jagan banyak iklan nya, karena kita sudah pake kuota bila ingin putar Spotify",5,2025-10-16 03:48:56
"Bagus, mudah di akses.",5,2025-10-16 03:45:51
aplikasi ya bagus,5,2025-10-16 03:36:42
kurangi iklan iklan yg ada di Spotify,4,2025-10-16 03:34:13
ok,5,2025-10-16 03:33:28
"Bagus,..satu lagu satu iklan,..iklan dilarang sering²,...,😀☕ lagi kumat nih 1 lagu 2 iklan,..",4,2025-10-16 03:23:51
memuaskan,5,2025-10-16 03:12:08
"mentang² ga premium iklannya 4x, parah bngt, duit emng segalanya tapi ini kbangetan",1,2025-10-16 03:09:34
mantap,5,2025-10-16 02:54:19
mantap,5,2025-10-16 02:47:11
mantap,5,2025-10-16 02:41:46
keren spotify,4,2025-10-16 02:37:41
sangat bagus dalam penyusunan,5,2025-10-16 02:36:31
serius ini sekarang iklannya Ampe 3 tiap ganti lagu? lama2 kek tv wkwkwk,5,2025-10-16 02:32:07
kebanyakan ikln,1,2025-10-16 02:31:53
ok,5,2025-10-16 02:22:17
🤩🥰😍😘,5,2025-10-16 01:50:32
bagus...,5,2025-10-16 01:50:20
apalah skrg malah kebanyakan iklan anjir,2,2025-10-16 01:49:40
kebanyakan iklan gabisa di skip,2,2025-10-16 01:38:38
saya suka..iklannya dikit,5,2025-10-16 01:31:14
bagus sekali apk ini bisa dengerin musik sambil main game,5,2025-10-16 01:28:26
bagus menemani waktu kerja dan keseharian,5,2025-10-16 01:20:17
aplikasi yg bagus .. kembangkan terus,5,2025-10-16 01:17:04
Sangat menghiburrrr,5,2025-10-16 01:08:18
Terus berbenah bossku...!!!,4,2025-10-16 01:05:13
mantap,5,2025-10-16 00:42:36
banya dpe lagu,5,2025-10-16 00:42:26
bagus. cuma satu lagu bisa 3 iklan jadi ribet,2,2025-10-16 00:28:06
👌❤️,5,2025-10-16 00:21:42
sangat cocok untuk menjadi penyemangat hidup,5,2025-10-15 23:56:39
sangat bagus untuk yang senang suka dengerin musik lebih baik donwlod sporty karna pengguanaan ya lebih mudah dan sangat membantu lebih mudah lagi semua lagu ada..,5,2025-10-15 23:54:39
keren,5,2025-10-15 23:49:29
aplikasi kikir kali kali wakk iklan sampek 4x,1,2025-10-15 23:49:28
kerenn,5,2025-10-15 23:46:53
Wahh Spotify sii udah ga bisaa diragukan lagi cakep beuhh,5,2025-10-15 23:46:07
iklannya asuu😡,4,2025-10-15 23:35:14
Spotify App Musik Kekinian Terbaik Menurut Saya Pribadi... 🎉➡️🌃➡️🍻➡️🎶 🔚 🔜🔄,4,2025-10-15 23:22:15
terbaik,5,2025-10-15 22:58:57
Terdebestlah pokoknya,5,2025-10-15 22:44:40
premium hapuss,5,2025-10-15 22:37:50
bagus aku menyukai aplikasi ini dengan dilengkapi lirik dan ada podke nya seru bgt tapi sayang nya banyak iklan,5,2025-10-15 22:34:50
keren,5,2025-10-15 22:20:32
bisa sambil belajar dan gratis,5,2025-10-15 21:59:08
bagus banget,5,2025-10-15 21:23:34
"lama kelamaaan makin banyak iklannya,, mending cari app lain aj.. bye",2,2025-10-15 21:16:43
so disappointed 😞,1,2025-10-15 20:54:13
good,5,2025-10-15 20:33:57
👍,5,2025-10-15 20:21:44
enak buat santai sambil dengerin musik,5,2025-10-15 18:05:32
free p,1,2025-10-15 17:48:31
Bgus,3,2025-10-15 17:44:35
kocak,1,2025-10-15 17:44:29
aplikasi nya bagus lengkap tapi iklan dk ngotak... 💔💔💔💔💔 ini mau dengar musik bukannya mau dengar iklan oke lah iklannya kalo muncul 2-4 kali itu lebih dari itu aaaa 9oblok... masa ikalmnya disuruh pake shopee pay later kita disuruh mirip pinjol aashaaua,4,2025-10-15 17:18:42
bagus tapi kalo bisa kasih gw premium gratis hehe,5,2025-10-15 16:53:11
jujur bagus sih lengkap cuman gitu dah terbatas banget ya lebih tepat nya kikir sih,3,2025-10-15 16:52:13
"masa milih lagu aja, harus premium astaga, cuma sebatas milih lagu aja di premiumin..., tolong dong balikin kaya dulu lagi jangan sampe sebatas lagu aja di premiumin kesel",1,2025-10-15 16:45:33
mantao,5,2025-10-15 16:32:17
"baru dengerin 3 lagu, ga lama jeda pas mau dengerin lagi malah gabisa dengerin lagu yg kita pilih, apaan bgt sih Spotify sekarang",1,2025-10-15 16:31:04
Mantaaap,5,2025-10-15 16:30:47
mantap..sangat membantu...,5,2025-10-15 16:09:16
bagus,5,2025-10-15 15:31:42
mantap,5,2025-10-15 15:29:57
bagus bangt'mudah di cari lagu2nya....,5,2025-10-15 15:27:58
terlalu sering iklan untuk yang reguler setiap 2 lagu iklan,1,2025-10-15 15:27:42
KL bisa di tambah,5,2025-10-15 15:21:58
bisa gak sih lagu yang di luar playlist gak usah di putar,1,2025-10-15 15:12:47
bagus tapi memoku penuh🗿,5,2025-10-15 15:09:59
Dear ceo spotify Saya kecewa dengan anda karena anda sudah menyuruh pihak pencipta untuk menghapuskan alquran Saya sangat kecewa....,1,2025-10-15 15:08:10
ok,5,2025-10-15 14:46:05
booster harian karna harus selalu denger musik setiap hari thanks spotify premium wort it wlw berbayar tapi semua lagu ada di sini lokal dan internasional lengkap,5,2025-10-15 14:42:32
ok good,5,2025-10-15 14:40:41
Cukup enjoy asik.,5,2025-10-15 14:35:27
Baguuss pake bgaett,5,2025-10-15 14:20:57
"iklan2 nya so a6 cringe,eh sekarang iklanya ada 3 bejirrrr",2,2025-10-15 14:20:19
baguuuss banggeeettt pliiss,5,2025-10-15 14:15:26
nice,5,2025-10-15 14:08:30
banyak banget pilihan musik ya,5,2025-10-15 14:04:10
harus premium,1,2025-10-15 14:00:06
"gw bisa denger lagu drake,the weeknd,partynextdoor,daniel Caesar,Radiohead,plaiboy carti,don toliver,john lenon,chase Atlantic,Bruno mars,coldplay dan lain lah thankyou spotify",5,2025-10-15 13:57:39
mantap,5,2025-10-15 13:56:39
"sumpahhh ni apk bagus bgtt, gak bohong demi!",5,2025-10-15 13:55:08
iklannya banyak,5,2025-10-15 13:34:59
lirik lagunya pada bagus bagus,5,2025-10-15 13:33:56
Sukses selalu my Spotify,4,2025-10-15 13:33:34
cocokk bgtt klo lagi aktivitas gtu tapi kadang iklaanya ganggu pas lagi asik asiknya 👍,4,2025-10-15 13:23:49
sya suka lagu,5,2025-10-15 13:21:19
sangat cocok untuk mendengarkan musik atau lagu yang kita sukai,5,2025-10-15 13:10:08
iklannya makin banyak dan lama 😞,3,2025-10-15 13:07:19
Bagus skl,5,2025-10-15 13:05:30
BAGUS BGT,5,2025-10-15 13:05:29
baik sekali,3,2025-10-15 13:03:41
bagus benget aplikasi bisa ngelagu Jaba bisa pakai main game kalo hp nya dimatiin bisa ngelagu lagi tapi iklannya 2-3 iklan,5,2025-10-15 13:02:37
aplikasi nya bagus gak ngelek bagus deh pokok nyahh 👍,5,2025-10-15 13:02:37
not bad,1,2025-10-15 13:02:34
Bikin nenangin hati yang sepi ini,5,2025-10-15 12:39:17
"bagus tapi kok pas masuk kedalam aplikasinya lamaa ya? jaringan bagus,memo oke,adaaa masalah ya?kalau bagus baru nanti aku kasi bintang 5,nahan sabarr kalau mau masuk kedalam ini apk..",3,2025-10-15 12:37:54
bagus sumpah sampek kejang🗿,5,2025-10-15 12:27:55
setiap nyetel lagu di Spotify bikin galau trs. Kita bisa mencari lagu sesuai yang diinginkan. aplikasinya bagus 🙃,5,2025-10-15 12:27:02
banyak lagu kesukaan saya jadi enak dicari dan juga enak denger lagu pas lagi main game,5,2025-10-15 12:26:40
bagusss,5,2025-10-15 12:21:47
kikir,1,2025-10-15 12:10:18
seruu,5,2025-10-15 12:09:21
aplikasinya bagus banget ✨👍,5,2025-10-15 12:05:56
"Saya sangat suka dengan Spotify karena saya bisa mendengarkan musik apapun, dan juga spotify tidak juga memerlukan pembayaran untuk lagu yang kita dengar",5,2025-10-15 12:00:01
Bagus,4,2025-10-15 11:57:38
"bagi pengguna biasa, iklannya makin gacor. Hanya itu saja 👆 yang saya kecewa.....fitur fiturnya bagus.",2,2025-10-15 11:48:02
aplikasi sangat bagus selalu ada rekomendasi lagu-lagu yang sedang populer,5,2025-10-15 11:47:23
"udah bagus, jangan di update lagi, saya malas harus update Mulu",5,2025-10-15 11:46:05
"ini sihh lagu nya asik"" semuaa sukaa dehh",5,2025-10-15 11:45:15
"menemani kesepian,seru",4,2025-10-15 11:43:49
SERUUUU!???,5,2025-10-15 11:41:15
iklan mulu hadeh baru 2-3 musik iklan lagi,3,2025-10-15 11:32:43
Baik,5,2025-10-15 11:28:17
banyak bet iklannya KONTOLLL,1,2025-10-15 11:19:04
"aplikasi nya bagus, udah gitu aja",5,2025-10-15 10:58:24
iklan mulai agak banyak tapi ok si,5,2025-10-15 10:55:46
baguss bgt lopyuu,5,2025-10-15 10:51:19
"kenapa di aku tiba tiba lagunya ngga ada liriknya udh 2 hari, padahal sebelumnya ada liriknya",5,2025-10-15 10:42:45
sangat bagus,5,2025-10-15 10:32:31
bagusss bgtt,5,2025-10-15 10:31:11
"Terlalu maksa utk premium + setiap pause lagu ditengah-tengah, pasti kembali ke menit awal lagi",1,2025-10-15 10:28:54
kasih bintang 3 karena banyak iklan dan mau premium itu mahal,3,2025-10-15 10:19:45
